07:16:09.330519 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:23.087366 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.100565 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.114199 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.114271 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.127332 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.140737 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.140832 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.154184 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.167563 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.167601 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.180817 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.194234 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.194267 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.207664 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.221923 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.221983 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.234262 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.247657 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.247684 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.261289 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.274299 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.274374 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.289774 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.301262 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.301319 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.314388 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.327978 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.328049 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.341145 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.357761 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.357835 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.368086 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.381380 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.381458 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.394593 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.408018 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.408099 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.421196 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.434589 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.434617 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.447893 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
